event_id,ticker,catalyst_type,catalyst_date,indication_text,is_cns,status
1000355,TAK,PDUFA,2026-09-30,Oveporexton (Orexin Agonist),0,upcoming
1000356,VSTM,Phase1/2,2026-06-23,GFH375 (VS-7375),0,upcoming
1000357,OTLK,PDUFA,2026-07-29,ONS-5010 / LYTENAVA™ (bevacizumab-vikg),0,upcoming
1000358,HCWB,Phase1,2026-12-31,HCW9302,0,upcoming
1000359,INBX,PDUFA,2027-04-14,Ozekibart (INBRX-109) (DR5 agonist),0,upcoming
1000360,EWTX,Phase3,2026-12-31,EDG-7500,0,upcoming
1000361,NBP,Phase1,2026-12-31,Givastomig (TJ-CD4B/ABL111) combo w/ nivolumab + chemo,0,upcoming
1000362,BIOA,Phase2,2026-12-31,BGE-102,0,upcoming
1000363,OCUL,Other,2026-12-31,AXPAXLI (OTX-TKI) (axitinib intravitreal implant),0,upcoming
1000364,CNTB,Phase2,2026-09-15,Rademikibart /CBP-201 ,0,upcoming
1000365,CNTB,Phase2,2026-09-30,Rademikibart /CBP-201,0,upcoming
1000366,KARD,Phase2,2027-06-30,Ataciguat,0,upcoming
1000367,KARD,Phase2,2027-06-30,Tonlamarsen,0,upcoming
1000368,KARD,Phase2,2027-06-30,Danicamtiv,0,upcoming
1000369,LGVN,Phase2,2026-07-13,Lomecel-B (laromestrocel),0,upcoming
1000370,RHHBY,PDUFA,2027-02-09,Lunsumio + Polivy,0,upcoming
1000371,RHHBY,PDUFA,2027-02-09,Lunsumio VELO/Mosunetuzumab + Polivy (CD20xCD3 Bispecific),0,upcoming
1000372,TCRX,Phase3,2026-06-30,TSC-101,0,upcoming
1000373,TSHA,Phase1/2,2026-07-31,TSHA-102 ,0,upcoming
1000374,MLTX,Other,2026-09-30,Sonelokimab,0,upcoming
1000375,MLTX,Other,2026-09-30,Sonelokimab,0,upcoming
1000376,TSHA,Phase1/2,2027-06-30,TSHA-102,0,upcoming
1000377,DFTX,Phase3,2027-12-31,MM120 (lysergide D-tartrate),0,upcoming
1000378,REGN,PDUFA,2026-11-30,Cemdisiran,0,upcoming
1000379,GALT,Phase3,2026-09-30,Belapectin (GR-MD-02),0,upcoming
1000380,RGNX,Other,2026-09-30,RGX-202,0,upcoming
1000381,ABSI,Phase1/2,2026-12-31,ABS-201,0,upcoming
1000382,MCRB,Phase1,2026-07-08,SER-155 (Live Biotherapeutic),0,upcoming
1000383,PRQR,Phase1,2026-12-31,AX-0810,0,upcoming
1000384,KYMR,Phase2,2026-12-31,KT-621 (Oral STAT6 Degrader),0,upcoming
1000385,RVMD,Phase1/2,2026-07-02,RMC-6236 (RASMULTI),0,upcoming
1000386,RVMD,Phase1/2,2026-07-02,RMC-9805 (KRASG12D),0,upcoming
1000387,AGEN,Phase1,2026-07-02,Botensilimab/Balstilimab (AGEN1181/AGEN2034) (CTLA-4 PD-1 Blockade),0,upcoming
1000388,RVMD,Phase1/2,2026-07-02,Zoldonrasib/Daraxonrasib (RMC-9805 + RMC-6236) (RAS(ON) Inhibitors),0,upcoming
1000389,CVKD,Phase2,2026-07-12,CAD-1005 (12-Lox Inhibitor),0,upcoming
1000390,VSTM,Phase1/2,2026-12-31,GFH375 (VS-7375),0,upcoming
1000391,ASND,Phase2,2026-06-29,TransCon hGH/TransCon CNP combination,0,upcoming
1000392,INCY,Phase1/2,2026-07-13,VGA039 (Protein S Antibody),0,upcoming
1000393,REPL,PDUFA,2026-08-02,RP1 + Opdivo (nivolumab),0,upcoming
1000394,MDNAF,Phase2,2026-12-31,MDNA55 (Bizaxofusp),0,upcoming
1000395,EVMN,Other,2026-06-29,EVO756 (MRGPRX2 Antagonist),0,upcoming
1000396,NGNE,Phase3,2027-12-31,NGN-401 ,0,upcoming
1000397,HELP,Phase2,2026-09-30,CYB004 (Deuterated Dimethyltryptamine Intramuscular),0,upcoming
1000398,BIIB,Phase2,2026-07-14,BIIB080 (tau ASO),0,upcoming
1000399,RGNX,Phase2,2026-07-31,"Surabgene lomparvovec (sura-vec, ABBV-RGX-314) (Suprachoroidal Delivery)",0,upcoming
1000400,LLY,PDUFA,2026-12-31,Pirtobrutinib,0,upcoming
1000401,DNTH,Phase3,2028-12-31,Claseprubart (DNTH103),0,upcoming
1000402,GANX,Phase2,2026-09-30,GT-02287,0,upcoming
1000403,JAGX,Other,2027-08-15,Crofelemer powder,0,upcoming
1000404,RHHBY,PDUFA,2026-10-15,Enspryng/Satralizumab (Satralizumab) (IL-6 Receptor Inhibitor),0,upcoming
1000405,DSGN,Phase1,2027-12-31,DT-818 (GeneTAC Modulator),0,upcoming
1000406,FDMT,Phase1/2,2026-07-18,4D-150,0,upcoming
1000407,NAMS,Phase2,2026-07-13,Obicetrapib,0,upcoming
1000408,OSTX,Phase2,2026-09-15,OST-HER2,0,upcoming
1000409,SANA,Phase1,2026-10-02,UP421,0,upcoming
1000410,INTS,Phase1/2,2026-12-31,INT230-6 (Intratumoral Cytotoxic),0,upcoming
1000411,TENX,Phase3,2026-08-29,TNX-103 (Oral Levosimendan),0,upcoming
1000412,SION,Phase2,2026-08-31,SION-719,0,upcoming
1000413,CMPS,Phase3,2026-07-31,COMP360 (Psilocybin),0,upcoming
1000414,DFTX,Phase3,2026-07-31,DT120 (formerly MM120; lysergide D-tartrate),0,upcoming
1000415,BIVI,Phase2,2026-08-31,Bezisterim (NE3107),0,upcoming
1000416,OSTX,Phase2,2026-09-22,OST-HER2,0,upcoming
